license_id,name,city,state,specialty,title,verification_url
ASMB204923,"Ackley, Joshua Vincent, D.O.",Jonesboro,Arkansas,,D.O.,../verify/results.aspx?strPHIDNO=ASMB204923
ASMB23,"Acklin, Jimmy David, M.D.",Van Buren,Arkansas,Family Practice,M.D.,../verify/results.aspx?strPHIDNO=ASMB23
ASMB204889,"Acosta, Carlos Alberto, M.D.",Fayetteville,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB204889
ASMB217525,"Adair, John Dwight, M.D.",Little Rock,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB217525
ASMB25,"Adametz, James Robert, M.D.",North Little Rock,Arkansas,Neurological Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB25
ASMB14385,"Adametz, John Harold, Jr., M.D.",North Little Rock,Arkansas,Physical Medicine & Rehabilitation,M.D.,../verify/results.aspx?strPHIDNO=ASMB14385
ASMB224118,"Adams, Jason Harry, M.D.",Forrest City,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB224118
ASMB19474,"Adams, Laura Leonard, M.D.",Fort Smith,Arkansas,Family Practice,M.D.,../verify/results.aspx?strPHIDNO=ASMB19474
ASMB211956,"Adams, Michael Stephen, M.D.",Mena,Arkansas,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB211956
ASMB203198,"Adams, Serrhel Glynn, Jr., M.D.",Springdale,Arkansas,Ophthalmology,M.D.,../verify/results.aspx?strPHIDNO=ASMB203198
ASMB215435,"Adams, Shaun Daniel, M.D.",Rogers,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB215435
ASMB223451,"Adams, Trent Elliott, D.O.",North Little Rock,Arkansas,Pediatrics,D.O.,../verify/results.aspx?strPHIDNO=ASMB223451
ASMB215828,"Adamu, Nana-Aishatu Usman, M.D.",Pine Bluff,Arkansas,Family Practice,M.D.,../verify/results.aspx?strPHIDNO=ASMB215828
ASMB32,"Addington, Alfred Robert, M.D.",Rogers,Arkansas,Obstetrics & Gynecology,M.D.,../verify/results.aspx?strPHIDNO=ASMB32
ASMB219885,"Addy, Sophia Dede, M.D.",Texarkana,Texas,Obstetrics & Gynecology,M.D.,../verify/results.aspx?strPHIDNO=ASMB219885
ASMB215753,"Adebanjo, Olugbenga , M.D.",West Memphis,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB215753
ASMB209360,"Adeogba, Saint, M.D.",Little Rock,Arkansas,General Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB209360
ASMB212606,"Aderholt, Audie Ray, III, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB212606
ASMB20320,"Adjei, Abdul-Nasser , M.D.",Fort Smith,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB20320
ASMB33,"Adkins, Johnny Pink, III, M.D.",Fayetteville,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB33
ASMB7297,"Adkins, Kevin James, M.D.",Cotter,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB7297
ASMB206149,"Adkins, Michael Clifton, M.D.",Mountain Home,Arkansas,Internal Medicine & Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB206149
ASMB211247,"Adkins, Ryan Kevin, M.D.",Springfield,Missouri,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB211247
ASMB10930,"Adkisson, Jarrod Rodney, M.D.",Fayetteville,Arkansas,Child & Adolescent Psychiatry,M.D.,../verify/results.aspx?strPHIDNO=ASMB10930
ASMB210776,"Afilaka, Bukola Oyindamola, M.D.",El Dorado,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB210776
ASMB209138,"Afzal, Yasir Usman, M.D.",Helena,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB209138
ASMB205392,"Agarwal, Amit, M.D.",Little Rock,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB205392
ASMB225030,"Agarwal, Ankush, M.D.",Enola,Pennsylvania,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB225030
ASMB223349,"Agarwal, Rajendar Kumar, M.D.",Helena,Arkansas,Internal Medicine/Hospital Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB223349
ASMB224966,"Agarwal, Shvetank , M.D.",Fayetteville,North Carolina,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB224966
ASMB38,"Agee, Kimberly Russell, M.D.",Fayetteville,Arkansas,Pulmonary Critical Care,M.D.,../verify/results.aspx?strPHIDNO=ASMB38
ASMB15206,"Agent, John Phillip, D.O.",Van Buren,Arkansas,Internal Medicine,D.O.,../verify/results.aspx?strPHIDNO=ASMB15206
ASMB208369,"Agesilas, Marielie Heidi, M.D.",Springdale,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB208369
ASMB226429,"Aggarwal, Abhimanyu , M.D.",Fort Smith,Arkansas,Diagnostic Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB226429
ASMB216964,"Agnone, John Henry, M.D.",Fort Smith,Arkansas,Cardiothoracic Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB216964
ASMB211780,"Agud, Holly Nicole, M.D.",North Little Rock,Arkansas,Psychiatry,M.D.,../verify/results.aspx?strPHIDNO=ASMB211780
ASMB214634,"Aguiar, Clinton Lloyd, M.D.",Texarkana,Texas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB214634
ASMB219081,"Aguilar, Michael Ferrer, M.D.",Rogers,Arkansas,Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB219081
ASMB3674,"Aguilar-Guzman, Orlando Ferrer, M.D.",Rogers,Arkansas,Urology,M.D.,../verify/results.aspx?strPHIDNO=ASMB3674
ASMB18106,"Ahart, Cheryl Lynn, M.D.",Little Rock,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB18106
ASMB209234,"Ahmad, Fawaz, M.D.",Bentonville,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB209234
ASMB211392,"Ahmed, Ahmed Salah, M.D.",Jonesboro,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB211392
ASMB223552,"Ahmed, Hiba Zara, M.D.",Jonesboro,Arkansas,Radiation Oncology,M.D.,../verify/results.aspx?strPHIDNO=ASMB223552
ASMB21328,"Ahmed, Mohammed Aqueel, M.D.",Little Rock,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB21328
ASMB214669,"Ahmed, Mohanned Hassan Mohammed, M.D.",Little Rock,Arkansas,General Practice/Geriatric,M.D.,../verify/results.aspx?strPHIDNO=ASMB214669
ASMB216080,"Ahmed, Muazer Bushra Mohamed, M.D.",Texarkana,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB216080
ASMB41,"Ahmed, Sahibzada Azizuddin, M.D.",Greenwood,Arkansas,General Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB41
ASMB219064,"Ahmed, Saira Naeem, M.D.",Franklin,Tennessee,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB219064
ASMB221967,"Ahmed, Wiaam Osman, M.D.",Houston,Texas,Physical Medicine & Rehabilitation,M.D.,../verify/results.aspx?strPHIDNO=ASMB221967
ASMB206739,"Ahmed, Zubair, M.D.",Fayetteville,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB206739
ASMB223426,"Ahrendsen, Olivia Kay Ragni, M.D.",North Little Rock,Arkansas,Geriatric Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB223426
ASMB21066,"Ahrens, Mitchell Amos, M.D.",Springfield,Missouri,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB21066
ASMB225254,"Ahuja, Amit , M.D.",Little Rock,Arkansas,Gastroenterology,M.D.,../verify/results.aspx?strPHIDNO=ASMB225254
ASMB14587,"Aitken, Mary Elizabeth, M.D.",Houston,Texas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB14587
ASMB213077,"Ajala, Adebisi Matilda, M.D.",Jacksonville,Florida,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB213077
ASMB211978,"Akasapu, Karunakar, M.D.",Fort Smith,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB211978
ASMB207462,"Akbar Ali, Anita, M.D.",Little Rock,Arkansas,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB207462
ASMB219833,"Akbary, Fauzia, M.D.",Jonesboro,Arkansas,Obstetrics & Gynecology,M.D.,../verify/results.aspx?strPHIDNO=ASMB219833
ASMB205162,"Akdol, Mehmet Sertac, M.D.",Fayetteville,Arkansas,Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB205162
ASMB19357,"Akhtar, Atif Mahmood, M.D.",Conway,Arkansas,Child & Adolescent Psychiatry,M.D.,../verify/results.aspx?strPHIDNO=ASMB19357
ASMB216883,"Akhtar, Saeem , M.D.",Fort Smith,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB216883
ASMB45,"Akin, Charles Ray, M.D.",Bentonville,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB45
ASMB223469,"Akin, Clinton Alexander, D.O.",Star City,Arkansas,Family Medicine,D.O.,../verify/results.aspx?strPHIDNO=ASMB223469
ASMB20373,"Akin, Eric David, M.D.",Jonesboro,Arkansas,Neurological Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB20373
ASMB46,"Akin, Gordon Clay, M.D.",Paragould,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB46
ASMB205698,"Akins, John Parrish, Jr., M.D.",Mountain View,Arkansas,Orthopaedic Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB205698
ASMB7873,"Akins, Victoria , M.D.",Jacksonville,Arkansas,Family Practice,M.D.,../verify/results.aspx?strPHIDNO=ASMB7873
ASMB12538,"Akkad, Nabil , M.D.",Fort Smith,Arkansas,General Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB12538
ASMB203233,"Akkineni, Kalyan Chowdary, M.D.",Fort Smith,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB203233
ASMB214229,"Al Emam, Abdel Rahman Ahmad, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB214229
ASMB218625,"Al Hadidi, Samer Ahmad Suleiman, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB218625
ASMB215184,"Al Hashem, Zaki Hassan, M.D.",Little Rock,Arkansas,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB215184
ASMB200300,"Al-Dadah, Halah, M.D.",Hot Springs,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB200300
ASMB12592,"Al-Ghussain, Emad A.M.M., M.D.",Fort Smith,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB12592
ASMB17757,"Al-Hallak, Ammar , M.D.",Paragould,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB17757
ASMB209756,"Al-Hawwas, Malek, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB209756
ASMB205830,"Al-Hindi, Ahmad Y., M.D.",Jonesboro,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB205830
ASMB220137,"Al-Jaberi, Lina Tareq Mohammad, M.D.",Little Rock,Arkansas,Pediatric Rheumatology,M.D.,../verify/results.aspx?strPHIDNO=ASMB220137
ASMB23318,"Al-Khatib, Ahmad , M.D.",Bentonville,Arkansas,Neurology,M.D.,../verify/results.aspx?strPHIDNO=ASMB23318
ASMB18264,"Al-Nashif, Ali Bassam, M.D.",White Hall,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB18264
ASMB217331,"Al-Odat, Rawan Tyseer, M.D.",Hot Springs,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB217331
ASMB9778,"Al-Refai, Fareeda Ann, M.D.",Hardy,Virginia,Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB9778
ASMB223388,"Al-Sabbagh, Zina , M.D.",North Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB223388
ASMB221892,"Al-Sarie, Mohammad Talib H., M.D.",North Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB221892
ASMB206192,"Al-Shahrouri, Hania Ziad, M.D.",Jonesboro,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB206192
ASMB224927,"Alaiwah, Malek Naim Mohammad, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB224927
ASMB209552,"Alakshar, Hassan, M.D.",Pine Bluff,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB209552
ASMB205497,"Alam, Mansoor, M.D.",Bentonville,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB205497
ASMB16484,"Alam, Muhammad Gohar, M.D.",Little Rock,Arkansas,Nephrology,M.D.,../verify/results.aspx?strPHIDNO=ASMB16484
ASMB22733,"Alam, Shamsul , M.D.",Bentonville,Arkansas,Nephrology,M.D.,../verify/results.aspx?strPHIDNO=ASMB22733
ASMB210460,"Alam, Shoaib, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB210460
ASMB224393,"Alam, Sinthia , M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB224393
ASMB224174,"Alam, Syed Masroor, M.D.",North Little Rock,Arkansas,Internal Medicine/Pulmonary Disease,M.D.,../verify/results.aspx?strPHIDNO=ASMB224174
ASMB218527,"Alamarat, Zain Ibrahim Khalil, M.D.",Little Rock,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB218527
ASMB204401,"Alapat, Daisy Varunni, M.D.",Little Rock,Arkansas,Pathology,M.D.,../verify/results.aspx?strPHIDNO=ASMB204401
ASMB205187,"Alarcon, John Joseph, M.D.",Franklin,Tennessee,Diagnostic Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB205187
ASMB216680,"Alaref, Subhi Jamal, M.D.",Little Rock,Arkansas,Interventional Cardiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB216680
ASMB223799,"Alazzawi, Omar , M.D.",Redfield,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB223799
ASMB221019,"Albashaireh, Arwa Zakereyya Shanwan, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB221019
ASMB208608,"Albee, Bhavika Pravin, M.D.",Jonesboro,Arkansas,Family Practice,M.D.,../verify/results.aspx?strPHIDNO=ASMB208608
ASMB206579,"Albers, Melissa Kay, M.D.",Fort Smith,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB206579
ASMB205941,"Albert, Gregory William, M.D.",Little Rock,Arkansas,Neurosurgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB205941
ASMB19380,"Albertson, Christopher Michael, M.D.",Fort Smith,Arkansas,Pathology,M.D.,../verify/results.aspx?strPHIDNO=ASMB19380
ASMB224031,"Albertson, Monroe Leonis, M.D.",Batesville,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB224031
ASMB16829,"Alberty, Bernadette Audra, M.D.",Fayetteville,Arkansas,Family Practice,M.D.,../verify/results.aspx?strPHIDNO=ASMB16829
ASMB23332,"Alberty, Brett Lane, M.D.",Little Rock,Arkansas,General Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB23332
ASMB221748,"Alberty, John Brannon, M.D.",Fayetteville,Arkansas,Pediatric Gastroenterology,M.D.,../verify/results.aspx?strPHIDNO=ASMB221748
ASMB9438,"Albey, Mark Edward, M.D.",Benton,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB9438
ASMB224570,"Albezargan, Fatin , M.D.",Hot Springs,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB224570
ASMB216899,"Albritton, Michael Andrew, M.D.",Springfield,Missouri,Therapeutic Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB216899
ASMB225211,"Aldaas, Mohammad, M.D.",Houston,Texas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB225211
ASMB207525,"Aldea, Ivan Omar, M.D.",Little Rock,Arkansas,Psychiatry,M.D.,../verify/results.aspx?strPHIDNO=ASMB207525
ASMB15887,"Alderink, Carlisle Julianna, M.D.",Fort Smith,Arkansas,Pathology,M.D.,../verify/results.aspx?strPHIDNO=ASMB15887
ASMB17626,"Aldrich, Joseph Albert, D.O.",Mena,Arkansas,Pediatrics,D.O.,../verify/results.aspx?strPHIDNO=ASMB17626
ASMB219525,"Ale, Shirisha , M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB219525
ASMB18825,"Alemparte, Jose Antonio, M.D.",Fort Smith,Arkansas,Cardiovascular Disease,M.D.,../verify/results.aspx?strPHIDNO=ASMB18825
ASMB18623,"Alesali, Maher , M.D.",White Hall,Arkansas,Endocrinology,M.D.,../verify/results.aspx?strPHIDNO=ASMB18623
ASMB22165,"Alex, Nadine Helen, M.D.",Rogers,Arkansas,"Endocrinology, Diabetes & Metabolism",M.D.,../verify/results.aspx?strPHIDNO=ASMB22165
ASMB57,"Alexander, Albert Sherrill, M.D.",Little Rock,Arkansas,Diagnostic Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB57
ASMB205699,"Alexander, Alice Anne Price, M.D.",Little Rock,Arkansas,Internal Medicine & Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB205699
ASMB6764,"Alexander, Brian Wallace, M.D.",Little Rock,Arkansas,Anesthesiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB6764
ASMB7163,"Alexander, Eugene Hale, D.O.",Fort Smith,Arkansas,Family Medicine,D.O.,../verify/results.aspx?strPHIDNO=ASMB7163
ASMB207981,"Alexander, James Craig, M.D.",Farmington,New York,Diagnostic Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB207981
ASMB200319,"Alexander, Jan Elizabeth, M.D.",Austin,Arkansas,Psychiatry,M.D.,../verify/results.aspx?strPHIDNO=ASMB200319
ASMB63,"Alexander, John Edward, Jr., M.D.",Magnolia,Arkansas,Family Practice,M.D.,../verify/results.aspx?strPHIDNO=ASMB63
ASMB64,"Alexander, Lester Trulie, M.D.",Pine Bluff,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB64
ASMB219553,"Alexander, Tiffany, M.D.",Paragould,Arkansas,Obstetrics & Gynecology,M.D.,../verify/results.aspx?strPHIDNO=ASMB219553
ASMB200088,"Alexander, Whitney Smith, M.D.",Fayetteville,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB200088
ASMB226552,"Alfasi, Jade Robert, M.D.",Eureka Springs,Arkansas,Family Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB226552
ASMB19519,"Alford, Julie Ann, M.D.",Springfield,Missouri,Diagnostic Radiology,M.D.,../verify/results.aspx?strPHIDNO=ASMB19519
ASMB223433,"Alge, Joseph Lee, M.D.",Little Rock,Arkansas,Pediatric Nephrology,M.D.,../verify/results.aspx?strPHIDNO=ASMB223433
ASMB223173,"AlGhamdi, Salem Ahmed, M.D.",Little Rock,Arkansas,Emergency Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB223173
ASMB222403,"Alhaddad, Zina , M.D.",Little Rock,Arkansas,Pediatrics,M.D.,../verify/results.aspx?strPHIDNO=ASMB222403
ASMB207361,"Alhajji, Mohammed Abdulwahab, M.D.",Jonesboro,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB207361
ASMB220977,"Alhammoud, Abduljabbar , M.D.",Little Rock,Arkansas,Orthopaedic Spine Surgery,M.D.,../verify/results.aspx?strPHIDNO=ASMB220977
ASMB221902,"Alhayek, Soubhi , M.D.",Batesville,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB221902
ASMB204238,"Ali, Abbas Khider, M.D.",Danville,Pennsylvania,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB204238
ASMB206486,"Ali, Ahmed Abdelbasset, M.D.",Conway,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB206486
ASMB217898,"Ali, Heather Kay, M.D.",Little Rock,Arkansas,Internal Medicine,M.D.,../verify/results.aspx?strPHIDNO=ASMB217898
